Name,PredominantDegree,HighestDegree,FundingModel,Region,Geography,AdmissionRate,ACTMedian,SATAverage,AverageCost,Expenditure,AverageFacultySalary,MedianDebt,AverageAgeofEntry,MedianFamilyIncome,MedianEarnings
University of Notre Dame,Bachelor's,Graduate,Private,Great Lakes,Large Suburb,0.223,33,1450,57805,26795,12629,20300,20.0900002,106005,63200
Oakland City University,Bachelor's,Graduate,Private,Great Lakes,Distant Town,0.7285,22,988,31104,4833,3610,10500,25.4899998,40279.5,30600
Purdue University-North Central Campus,Bachelor's,Graduate,Public,Great Lakes,Fringe Rural,0.7218,20,954,13713,4976,6971,12285.5,23.6900005,47378,32800
Rose-Hulman Institute of Technology,Bachelor's,Graduate,Private,Great Lakes,Small City,0.5622,30,1310,55413,20879,8411,26000,19.5,91307,71300
University of Saint Francis-Fort Wayne,Bachelor's,Graduate,Private,Great Lakes,Large City,0.5362,21,981,31516,7513,5666,20000,23.6100006,63504,36600
Saint Josephs College,Bachelor's,Graduate,Private,Great Lakes,Distant Town,0.6419,22,998,37135,6339,5443,13576.5,20.3099995,75145.5,35800
Saint Mary-of-the-Woods College,Bachelor's,Graduate,Private,Great Lakes,Fringe Rural,0.9754,19,895,40349,10418,4867,19813,29.7999992,47554,29800
Saint Mary's College,Bachelor's,Bachelor's,Private,Great Lakes,Large Suburb,0.8568,26,1141,45920,14363,6258,26814,19.5100002,103102,41800
Taylor University,Bachelor's,Graduate,Private,Great Lakes,Distant Town,0.876,28,1214,38845,9780,6365,20500,20.8700008,71404,32800
Trine University,Bachelor's,Graduate,Private,Great Lakes,Distant Town,0.7157,24,1095,40679,5574,7319,16950,23.3400002,59270,39200
Valparaiso University,Bachelor's,Graduate,Private,Great Lakes,Large Suburb,0.7969,26,1158,43185,10489,7280,23250,20.5599995,81419.5,42400
Buena Vista University,Bachelor's,Graduate,Private,Great Plains,Remote Town,0.6955,23,1050,39011,7412,6736,17879,24.8799992,47120.5,36100
Central College,Bachelor's,Bachelor's,Private,Great Plains,Distant Town,0.658,24,1089,43491,11755,6790,27000,19.6100006,77865,39200
Clarke University,Bachelor's,Graduate,Private,Great Plains,Small City,0.7752,23,1048,38062,8045,6109,20500,22.0200005,60813.5,35800
Coe College,Bachelor's,Graduate,Private,Great Plains,Mid-size City,0.6171,26,1166,45387,11825,7662,21875,20.4099999,75314,40300
Cornell College,Bachelor's,Bachelor's,Private,Great Plains,Fringe Town,0.6411,26,1182,46135,9227,6592,25015,19.6599999,82517,35100
Dordt College,Bachelor's,Graduate,Private,Great Plains,Remote Town,0.7542,25,1119,37080,8671,5959,19500,19.6700001,74121,35600
Drake University,Bachelor's,Graduate,Private,Great Plains,Mid-size City,0.6595,28,1240,42477,9273,9108,21500,20.2700005,88132.5,48000
University of Dubuque,Bachelor's,Graduate,Private,Great Plains,Small City,0.7742,20,926,34206,6971,6274,17114,20.9599991,57825,32900
Faith Baptist Bible College and Theological Seminary,Bachelor's,Graduate,Private,Great Plains,Large Suburb,0.6693,22,1028,24930,6813,4992,12000,20.3700008,49742,29200
Graceland University-Lamoni,Bachelor's,Graduate,Private,Great Plains,Remote Rural,0.5018,21,969,34494,8769,4986,18089.5,23.2800007,52671.5,33200
Grand Vis University,Bachelor's,Graduate,Private,Great Plains,Mid-size City,0.9542,21,979,31761,6141,6421,18500,23.3500004,54502,38900
Grinnell College,Bachelor's,Bachelor's,Private,Great Plains,Remote Town,0.3506,30,1357,53318,23516,9129,10022.5,19.3799992,88440,37600
Iowa State University,Bachelor's,Graduate,Public,Great Plains,Small City,0.8252,25,1145,18820,9170,10027,19750,20.3400002,73557,43500
Iowa Wesleyan College,Bachelor's,Bachelor's,Private,Great Plains,Remote Town,0.6012,22,1005,36102,10008,5473,16595.5,24.3500004,42117,30800
University of Iowa,Bachelor's,Graduate,Public,Great Plains,Small City,0.8023,27,1208,21832,13911,10194,18692.5,20.9500008,74267,44000
Loras College,Bachelor's,Graduate,Private,Great Plains,Small City,0.6903,24,1088,37622,6903,6173,24225,20.1599999,79300,38200
Luther College,Bachelor's,Bachelor's,Private,Great Plains,Remote Town,0.7212,26,1175,46548,11373,7539,26902,19.6299992,90605,39900
Morningside College,Bachelor's,Graduate,Private,Great Plains,Small City,0.5337,23,1050,36280,5367,6371,19932,20.3199997,64251,36600
Mount Mercy University,Bachelor's,Graduate,Private,Great Plains,Mid-size City,0.6845,22,1010,37183,7292,6007,19500,23.3600006,65962.5,40900
University of Northern Iowa,Bachelor's,Graduate,Public,Great Plains,Small City,0.8331,22,1030,19233,9117,8062,18500,20.8199997,70699,38700
Northwestern College,Bachelor's,Bachelor's,Private,Great Plains,Distant Town,0.7609,24,1095,37884,8464,6206,20500,19.7399998,68899,32600
Saint Ambrose University,Bachelor's,Graduate,Private,Great Plains,Mid-size City,0.9617,23,1050,38189,8935,6754,20500,21.8400002,72155,40500
Simpson College,Bachelor's,Graduate,Private,Great Plains,Fringe Town,0.8802,24,1105,40186,7720,6312,22500,21.5599995,71500,40400
Upper Iowa University,Bachelor's,Graduate,Private,Great Plains,Remote Rural,0.5818,22,1010,35190,4234,5794,15882.5,28.4099999,38423,39000
Waldorf College,Bachelor's,Bachelor's,Private For-Profit,Great Plains,Remote Town,0.5067,21,980,30300,5407,5046,12000,20.2099991,62067.5,32000
Wartburg College,Bachelor's,Bachelor's,Private,Great Plains,Distant Town,0.7765,24,1077,43312,9391,6274,24124,19.5799999,79035.5,39700
William Penn University,Bachelor's,Graduate,Private,Great Plains,Remote Town,0.5766,20,926,33081,4768,5792,18740,27.6800003,45954.5,36900
Baker University,Bachelor's,Graduate,Private,Great Plains,Fringe Town,0.869,24,1086,37485,4981,5758,21353,26.7600002,60418,45500
Benedictine College,Bachelor's,Graduate,Private,Great Plains,Distant Town,0.6057,25,1145,36805,5931,6165,19500,20.0799999,79145.5,35000
Bethany College,Bachelor's,Bachelor's,Private,Great Plains,Remote Town,0.5882,21,956,34042,5421,4361,15750,20.2399998,60417,33500
Bethel College-North Newton,Bachelor's,Bachelor's,Private,Great Plains,Distant Town,0.644,23,1028,33781,7880,5407,15090,21.4699993,58902,35400
Central Christian College of Kansas,Bachelor's,Bachelor's,Private,Great Plains,Remote Town,0.5045,21,970,28170,2036,3262,8821,21.0499992,51132,28200
Emporia State University,Bachelor's,Graduate,Public,Great Plains,Remote Town,0.6069,22,1030,15612,7795,6268,14000,21.8400002,54559,33200
Fort Hays State University,Bachelor's,Graduate,Public,Great Plains,Remote Town,0.8917,21,990,15395,5150,6488,11606,23.75,48317,34800
Barclay College,Bachelor's,Graduate,Private,Great Plains,Remote Rural,0.5285,20,954,24990,3955,4622,12625,21.2999992,46657,26400
Friends University,Bachelor's,Graduate,Private,Great Plains,Large City,0.5862,21,977,33388,5303,6443,20834,27.8700008,45203.5,38300
University of Kansas,Bachelor's,Graduate,Public,Great Plains,Small City,0.9228,25,1145,21971,16874,9694,14799,20.8299999,72937,41600
Newman University,Bachelor's,Graduate,Private,Great Plains,Large City,0.4472,24,1079,33524,4504,5684,16945,25.2600002,43838,39500
Kansas Wesleyan University,Bachelor's,Graduate,Private,Great Plains,Remote Town,0.537,22,1014,34402,4988,5498,15455,22.1200008,53597,35600
Manhattan Christian College,Bachelor's,Bachelor's,Private,Great Plains,Small City,0.5988,22,1020,25439,4388,5189,13000,23.0400009,62000.5,29000
McPherson College,Bachelor's,Bachelor's,Private,Great Plains,Remote Town,0.866,22,1014,34534,7906,5217,15000,21.4899998,64333,37000
MidAmerica Nazarene University,Bachelor's,Graduate,Private,Great Plains,Large Suburb,0.7223,20,950,32388,5381,6156,15000,24.5,60929,39200
Ottawa University-Ottawa,Bachelor's,Graduate,Private,Great Plains,Distant Town,0.9888,22,1020,35017,2570,5650,17000,30.8099995,45681,37700
Pittsburg State University,Bachelor's,Graduate,Public,Great Plains,Distant Town,0.7898,22,1010,15211,6350,6987,13377.5,21.8500004,48823,35300
University of Saint Mary,Bachelor's,Graduate,Private,Great Plains,Fringe Town,0.4707,22,988,31515,7202,5695,18385,24.1299992,57817.5,32600
Southwestern College,Bachelor's,Graduate,Private,Great Plains,Distant Town,0.8968,23,1036,36472,5122,5689,19192,27.2700005,52868,42500
Sterling College,Bachelor's,Bachelor's,Private,Great Plains,Distant Rural,0.4405,22,1015,30722,4858,3587,14500,20.3500004,58450,29300
Tabor College,Bachelor's,Graduate,Private,Great Plains,Remote Town,0.735,23,1017,35960,5268,4248,15000,22.75,59463,35300
Wichita State University,Bachelor's,Graduate,Public,Great Plains,Large City,0.9576,24,1089,14764,6594,7568,15250,23.8899994,41686,36400
Alice Lloyd College,Bachelor's,Bachelor's,Private,Southeast,Remote Rural,0.4502,21,990,19450,4532,4454,6700,19.9899998,30027.5,27700
Asbury University,Bachelor's,Graduate,Private,Southeast,Fringe Town,0.6573,24,1110,33966,8335,5924,20325,21.25,68034.5,30200
Bellarmine University,Bachelor's,Graduate,Private,Southeast,Large City,0.9478,25,1116,47609,8456,7580,19500,22.2299995,68519,42700
Berea College,Bachelor's,Bachelor's,Private,Southeast,Distant Town,0.3401,24,1113,30396,15067,7357,5496.5,20.0499992,29786.5,29700
Brescia University,Bachelor's,Graduate,Private,Southeast,Small City,0.45,22,1010,27219,7085,5221,12146.5,23.6900005,51173,35000
Campbellsville University,Bachelor's,Graduate,Private,Southeast,Remote Town,0.6844,21,985,31545,5444,5692,12000,22.5699997,45765,29800
Centre College,Bachelor's,Bachelor's,Private,Southeast,Distant Town,0.6857,29,1268,46400,15873,6951,21450,19.3700008,90526,35800
University of the Cumberlands,Bachelor's,Graduate,Private,Southeast,Remote Town,0.7127,22,1019,30993,4050,5417,9500,21.0400009,48248,30100
Eastern Kentucky University,Bachelor's,Graduate,Public,Southeast,Distant Town,0.6002,22,1009,17801,8413,6910,14921.5,22.3700008,40016,31900
Georgetown College,Bachelor's,Graduate,Private,Southeast,Fringe Town,0.8219,24,1085,42036,7813,5999,21445,19.7399998,79282.5,35100
Kentucky State University,Bachelor's,Graduate,Public,Southeast,Distant Town,0.3774,18,860,18387,7431,6102,14750,22.5400009,31104,26100
Kentucky Wesleyan College,Bachelor's,Bachelor's,Private,Southeast,Small City,0.671,22,1019,29725,5489,5191,14000,20.2900009,56064,29100
University of Kentucky,Bachelor's,Graduate,Public,Southeast,Large City,0.6861,25,1140,22420,10793,9614,14000,21.1299992,57564,39300
Kentucky Christian University,Bachelor's,Graduate,Private,Southeast,Distant Town,0.5136,21,976,29246,4538,4594,9500,21.3299999,48450.5,26500
University of Louisville,Bachelor's,Graduate,Public,Southeast,Large City,0.7112,25,1142,21922,15806,9373,13300,22.1200008,45597.5,35800
Midway College,Bachelor's,Graduate,Private,Southeast,Distant Rural,0.5381,22,1032,33132,6789,5459,16750,28.1100006,37808,33700
Morehead State University,Bachelor's,Graduate,Public,Southeast,Remote Town,0.8449,22,1028,17805,6849,6527,14250,22.7299995,32312,28000
Murray State University,Bachelor's,Graduate,Public,Southeast,Remote Town,0.8217,22,1029,16397,7703,7145,14875,22.2099991,46054.5,32300
Northern Kentucky University,Bachelor's,Graduate,Public,Southeast,Large Suburb,0.467,22,1024,14603,7303,6780,15000,22.4899998,53630,32800
University of Pikeville,Bachelor's,Graduate,Private,Southeast,Remote Town,1,19,909,31005,6567,5588,9500,21.5499992,24191,28000
Spalding University,Bachelor's,Graduate,Private,Southeast,Large City,0.8108,20,952,31021,6502,7132,19118,28.3700008,33377.5,40300
Thomas More College,Bachelor's,Graduate,Private,Southeast,Large Suburb,0.8775,23,1033,36843,6156,6325,19500,25.7600002,66017.5,41800
Transylvania University,Bachelor's,Bachelor's,Private,Southeast,Large City,0.9615,27,1213,41374,9869,8282,25000,19.4500008,82262,36800
Union College,Bachelor's,Graduate,Private,Southeast,Remote Town,0.7416,22,1007,31769,5609,4540,12250,22.4599991,33780.5,28800
Western Kentucky University,Bachelor's,Graduate,Public,Southeast,Small City,0.9232,22,1009,16538,7807,6983,15000,22.2199993,42198.5,30800
Centenary College of Louisiana,Bachelor's,Graduate,Private,Southeast,Mid-size City,0.6597,25,1131,40578,11545,7159,17125,19.8099995,72994,40700
Dillard University,Bachelor's,Bachelor's,Private,Southeast,Large City,0.3544,19,884,25343,12462,6288,20000,19.9200001,31979,28000
Grambling State University,Bachelor's,Graduate,Public,Southeast,Distant Town,0.4363,18,863,20881,4912,5794,23750,20.9200001,23973,24800
Louisiana State University-Alexandria,Bachelor's,Bachelor's,Public,Southeast,Fringe Rural,0.6074,20,950,14276,7400,5298,9000,24.7099991,25217,29000
Louisiana State University and Agricultural & Mechanical College,Bachelor's,Graduate,Public,Southeast,Fringe Rural,0.7623,26,1162,20422,9914,9190,13000,20.5499992,52648,42800
Louisiana State University-Shreveport,Bachelor's,Graduate,Public,Southeast,Mid-size City,0.8349,22,1030,15066,5804,6279,12500,23.4500008,28984,32700
Louisiana College,Bachelor's,Graduate,Private,Southeast,Small Suburb,0.7423,21,968,22940,7234,5513,11750,20.9699993,49554.5,37800
Louisiana Tech University,Bachelor's,Graduate,Public,Southeast,Distant Town,0.6744,24,1089,16983,5668,7055,13632.5,21.4899998,43568,37500
Loyola University New Orleans,Bachelor's,Graduate,Private,Southeast,Large City,0.8707,25,1143,46676,11302,8612,18500,20.7700005,72625,40500
McNeese State University,Bachelor's,Graduate,Public,Southeast,Small City,0.6151,22,1030,14823,4932,6410,12806,22.2999992,33535,33000
University of New Orleans,Bachelor's,Graduate,Public,Southeast,Large City,0.5036,23,1072,16212,8079,7448,11750,22.2999992,27630.5,32900
Nicholls State University,Bachelor's,Graduate,Public,Southeast,Small City,0.8694,22,1030,16071,5318,5785,11555,21.8899994,32069.5,32500
University of Louisiana at Monroe,Bachelor's,Graduate,Public,Southeast,Small City,0.7724,23,1050,14925,5777,6958,12708,22.3400002,28606,33700
Northwestern State University of Louisiana,Bachelor's,Graduate,Public,Southeast,Remote Town,0.84,22,1007,16605,5075,5898,14000,23.1399994,27444.5,30100
Our Lady of the Lake College,Associate,Graduate,Private,Southeast,Mid-size City,0.6615,22,1010,21335,6680,6138,16743.5,25.9799995,30253,44700
Southeastern Louisiana University,Bachelor's,Graduate,Public,Southeast,Small City,0.448,22,1030,15729,5391,6335,11670,21.5699997,32109.5,33400
Southern University and A & M College,Bachelor's,Graduate,Public,Southeast,Mid-size City,0.359,19,890,17928,6369,6158,24250,20.8199997,23636,28700
Southern University at New Orleans,Bachelor's,Graduate,Public,Southeast,Large City,0.4888,17,808,10889,10302,5830,18442,24.8600006,16097,26100
University of Louisiana at Lafayette,Bachelor's,Graduate,Public,Southeast,Mid-size City,0.593,23,1070,15342,4963,7568,13000,21.4599991,35091,34600
Tulane University of Louisiana,Bachelor's,Graduate,Private,Southeast,Large City,0.2643,31,1341,58904,21299,10880,20001,22.8199997,45863.5,51200
Xavier University of Louisiana,Bachelor's,Graduate,Private,Southeast,Large City,0.5443,23,1048,27550,8326,8252,18000,19.7000008,38660.5,43200
Bowdoin College,Bachelor's,Bachelor's,Private,New England,Fringe Town,0.1495,32,1423,58200,26266,10803,18000,19.2600002,89780.5,48600
Colby College,Bachelor's,Bachelor's,Private,New England,Remote Town,0.2604,30,1343,57300,20179,11329,18500,19.3899994,104003,45700
Husson University,Bachelor's,Graduate,Private,New England,Small City,0.7989,19,962,25019,6274,6539,21329,22.2000008,46670,34600
University of Maine at Fort Kent,Bachelor's,Bachelor's,Public,New England,Remote Rural,0.6293,23,908,17314,6771,6429,11500,24.5400009,35325,30300
University of Maine at Machias,Bachelor's,Bachelor's,Public,New England,Remote Rural,0.854,22,937,17380,7440,5819,11780,23.1000004,28802,23100
University of Maine,Bachelor's,Graduate,Public,New England,Small Suburb,0.8106,24,1085,22461,10058,8755,19200.5,20.7700005,60423,36500
Maine Maritime Academy,Bachelor's,Graduate,Public,New England,Distant Rural,0.6536,22,1026,23673,9613,3639,26596.5,20.0699997,68682,73500
University of New England,Bachelor's,Graduate,Private,New England,Mid-size Suburb,0.8584,24,1057,47931,9692,7900,20955,21.1299992,74608,44200
University of Southern Maine,Bachelor's,Graduate,Public,New England,Small City,0.828,23,1003,22290,9616,8522,17000,22.7999992,49417,35000
Thomas College,Bachelor's,Graduate,Private,New England,Fringe Rural,0.7244,19,895,33792,3782,6177,18059.5,20.2099991,55433,33200
Bowie State University,Bachelor's,Graduate,Public,Mid-Atlantic,Large Suburb,0.5176,19,886,18581,6996,7393,16500,21.25,45228,42600
Capitol College,Bachelor's,Graduate,Private,Mid-Atlantic,Large Suburb,0.5903,21,1042,30826,4888,4275,13250,22.9099999,53209,65400
Frostburg State University,Bachelor's,Graduate,Public,Mid-Atlantic,Small Suburb,0.5945,20,963,19454,6658,6570,16750,20.2900009,68365.5,38500
Hood College,Bachelor's,Graduate,Private,Mid-Atlantic,Small City,0.8102,22,1030,45230,8787,7078,22375,21.3700008,72812,40000
Johns Hopkins University,Bachelor's,Graduate,Private,Mid-Atlantic,Large City,0.1813,32,1418,58980,75570,10922,17500,22.9200001,57761.5,64400
Loyola University Maryland,Bachelor's,Graduate,Private,Mid-Atlantic,Large City,0.58,27,1194,56736,11584,8346,26000,19.3600006,112164,56400
University of Maryland-Baltimore County,Bachelor's,Graduate,Public,Mid-Atlantic,Large Suburb,0.6315,27,1209,22024,9852,8985,17500,21.3799992,59891,46900
University of Maryland Eastern Shore,Bachelor's,Graduate,Public,Mid-Atlantic,Fringe Town,0.5502,18,871,20587,8823,7299,18071,20.2000008,40227,32800
Morgan State University,Bachelor's,Graduate,Public,Mid-Atlantic,Large City,0.5757,18,893,20108,9025,7430,22907,20.6800003,40263.5,34100
Mount St Mary's University,Bachelor's,Graduate,Private,Mid-Atlantic,Fringe Town,0.6741,20,1060,45896,8691,7121,19500,20.3899994,98879,47100
Notre Dame of Maryland University,Bachelor's,Graduate,Private,Mid-Atlantic,Large City,0.4964,22,1036,41871,10035,7064,21732.5,27.3899994,56669,45600
Salisbury University,Bachelor's,Graduate,Public,Mid-Atlantic,Small Suburb,0.5494,24,1145,20916,6654,6688,16250,20.5499992,87919.5,44100
St Mary's College of Maryland,Bachelor's,Graduate,Public,Mid-Atlantic,Small Suburb,0.7204,28,1221,29174,13542,6981,19130,19.6700001,103581.5,42900
Towson University,Bachelor's,Graduate,Public,Mid-Atlantic,Small City,0.6034,23,1078,21596,5906,6670,15750,20.8899994,71279.5,45700
Stevenson University,Bachelor's,Graduate,Private,Mid-Atlantic,Fringe Rural,0.5959,21,990,38785,8585,9724,18197.5,21.0799999,77520,45800
Washington College,Bachelor's,Graduate,Private,Mid-Atlantic,Distant Town,0.6655,27,1168,52243,12924,7927,25000,19.2700005,108663.5,40800
McDaniel College,Bachelor's,Graduate,Private,Mid-Atlantic,Small Suburb,0.7587,24,1105,45866,8839,7035,22000,19.7800007,89429,42000
American International College,Bachelor's,Graduate,Private,New England,Mid-size City,0.6779,19,885,40803,4924,5700,20726,22.6399994,49259,36100
Amherst College,Bachelor's,Bachelor's,Private,New England,Large Suburb,0.1428,32,1434,59060,23275,11690,10453,19.3299999,85922,54000
Babson College,Bachelor's,Graduate,Private,New England,Large Suburb,0.2821,28,1258,58450,13960,14952,27000,20.2800007,80987,74700
Bay Path College,Bachelor's,Graduate,Private,New England,Large Suburb,0.576,20,964,40447,6148,7754,18065,27.2800007,45278,37500
Becker College,Bachelor's,Bachelor's,Private,New England,Mid-size City,0.6255,22,1006,44041,5832,7308,15750,24.1000004,54112,36300
Bentley University,Bachelor's,Graduate,Private,New England,Small City,0.4379,28,1234,54806,13149,12158,26000,19.6599999,93494,69000
Boston College,Bachelor's,Graduate,Private,New England,Small City,0.3222,32,1375,58639,18302,13355,19000,20.6000004,81102,61800
Boston University,Bachelor's,Graduate,Private,New England,Large City,0.4561,28,1279,59036,27281,12360,25500,19.9500008,91507,53600
Brandeis University,Bachelor's,Graduate,Private,New England,Small City,0.3704,30,1347,58850,14309,11328,26000,19.4899998,97995,47400
Bridgewater State University,Bachelor's,Graduate,Public,New England,Large Suburb,0.786,22,991,19303,5426,8315,19250,21.0400009,72560,39100
Curry College,Bachelor's,Graduate,Private,New England,Large Suburb,0.6692,18,931,47519,9905,8319,18625,21.7900009,74416,41900
Dean College,Associate,Bachelor's,Private,New England,Large Suburb,0.6835,17,845,46673,7527,6102,9500,20.0100002,74995,29200
Emerson College,Bachelor's,Graduate,Private,New England,Large City,0.4798,28,1240,51158,9283,9204,21500,19.6700001,94808,38900
Emmanuel College,Bachelor's,Graduate,Private,New England,Large City,0.6049,24,1090,49487,7555,8155,24250,20.6399994,81534,42200
Endicott College,Bachelor's,Graduate,Private,New England,Large Suburb,0.7165,23,1070,44177,5860,8415,23250,19.8700008,109499.5,43800
Fitchburg State University,Bachelor's,Graduate,Public,New England,Mid-size Suburb,0.7211,20,987,17686,7938,8371,15529.5,21.2700005,70609.5,38700
Framingham State University,Bachelor's,Graduate,Public,New England,Small City,0.5167,22,1040,21402,5080,7977,15522.5,20.7600002,72222.5,40200
Gordon College,Bachelor's,Graduate,Private,New England,Large Suburb,0.4133,26,1156,43140,9906,7783,23000,19.3700008,88787,36700
Harvard University,Bachelor's,Graduate,Private,New England,Mid-size City,0.0584,34,1501,57950,47083,17861,7500,23.6499996,33323.5,77600
Lasell College,Bachelor's,Graduate,Private,New England,Small City,0.7614,21,974,43854,6324,7409,23000,19.4799995,77869,34600
Lesley University,Bachelor's,Graduate,Private,New England,Mid-size City,0.6749,24,1065,47788,9092,7838,19500,24.8999996,55849,33200
University of Massachusetts-Lowell,Bachelor's,Graduate,Public,New England,Large Suburb,0.6397,25,1132,22861,10446,11296,19500,22,61757,45600
University of Massachusetts-Amherst,Bachelor's,Graduate,Public,New England,Large Suburb,0.6294,27,1209,25665,12988,11354,21500,20.5900002,75270.5,43500
MCPHS University,Bachelor's,Graduate,Private,New England,Large City,0.8921,24,1094,43966,9840,8066,25000,22.25,61624,113100
Massachusetts College of Art and Design,Bachelor's,Graduate,Public,New England,Large City,0.6982,25,1081,25384,11176,9403,22500,21.4799995,60374,30200
Massachusetts Institute of Technology,Bachelor's,Graduate,Private,New England,Mid-size City,0.0815,34,1503,57010,58223,15617,13000,21.0100002,79076,86900
Massachusetts Maritime Academy,Bachelor's,Graduate,Public,New England,Mid-size Suburb,0.7726,22,1051,22420,9178,7967,23250,19.8299999,86279,67500
Mount Ida College,Bachelor's,Graduate,Private,New England,Small City,0.6065,18,880,41565,8163,6336,19000,20.5200005,61177,32600
Nichols College,Bachelor's,Graduate,Private,New England,Large Suburb,0.8047,21,940,44886,4681,5479,15782.5,20.1399994,81300.5,41900
Massachusetts College of Liberal Arts,Bachelor's,Graduate,Public,New England,Fringe Town,0.672,23,1032,20025,8508,8113,18499,21.8700008,56421.5,29500
Northeastern University,Bachelor's,Graduate,Private,New England,Large City,0.3231,32,1394,55914,13078,11581,25759.5,20.9300003,83394,56400
College of Our Lady of the Elms,Bachelor's,Graduate,Private,New England,Large Suburb,0.7492,19,928,40802,6539,6340,22160.5,23.6900005,71106.5,41300
Regis College,Bachelor's,Graduate,Private,New England,Large Suburb,0.7243,21,954,47432,7977,7055,24500,21.7099991,55309,41000
Salem State University,Bachelor's,Graduate,Public,New England,Large Suburb,0.6929,22,986,20601,7761,8765,19415,21.75,51386,37600
Simmons College,Bachelor's,Graduate,Private,New England,Large City,0.4897,26,1149,51093,12373,8098,25000,21.3099995,67781,46500
Springfield College,Bachelor's,Graduate,Private,New England,Mid-size City,0.6992,23,1029,44829,10324,8240,20500,28.6399994,50430,39900
University of Massachusetts-Dartmouth,Bachelor's,Graduate,Public,New England,Mid-size Suburb,0.7213,23,1061,23763,10528,10405,19500,20.6900005,69531.5,41100
Stonehill College,Bachelor's,Bachelor's,Private,New England,Large Suburb,0.7091,25,1133,50677,12896,8602,26000,19.4899998,116545,51700
Suffolk University,Bachelor's,Graduate,Private,New England,Large City,0.825,23,1014,45280,9244,8494,21032,20.5100002,64594,46000
Tufts University,Bachelor's,Graduate,Private,New England,Large Suburb,0.1884,32,1428,58752,21026,11427,17300,21.4200001,64738,57400
Wellesley College,Bachelor's,Bachelor's,Private,New England,Large Suburb,0.2911,31,1399,57164,32790,12025,8000,19.8799992,74657,52800
Wentworth Institute of Technology,Bachelor's,Graduate,Private,New England,Large City,0.5761,24,1109,43850,8790,8039,21700,20.3400002,81863,52100
Western New England University,Bachelor's,Graduate,Private,New England,Mid-size City,0.8151,24,1077,45850,9876,9269,20159,19.9400005,87684,48400
Westfield State University,Bachelor's,Graduate,Public,New England,Large Suburb,0.7487,20,995,19468,7042,8356,16250,20.4300003,78180,39300
Wheelock College,Bachelor's,Graduate,Private,New England,Large City,0.7318,22,996,45591,13033,6999,25859,21.3500004,65102,35300
Williams College,Bachelor's,Graduate,Private,New England,Fringe Town,0.1702,32,1439,59412,39164,12027,11248,19.3299999,88403.5,46400
Worcester State University,Bachelor's,Graduate,Public,New England,Mid-size City,0.6062,22,1016,18494,6536,8356,14500,21.5900002,62776.5,39700
Adrian College,Bachelor's,Bachelor's,Private,Great Lakes,Distant Town,0.5628,22,1007,40199,7091,7453,14250,19.6299992,71008.5,33800
Albion College,Bachelor's,Bachelor's,Private,Great Lakes,Fringe Town,0.5639,25,1143,45690,11574,6969,22500,19.2099991,85027.5,40800
Alma College,Bachelor's,Bachelor's,Private,Great Lakes,Distant Town,0.6791,25,1100,43157,9213,7256,21500,19.5100002,74312,38000
Andrews University,Bachelor's,Graduate,Private,Great Lakes,Fringe Town,0.3751,23,1070,33653,11640,4961,23000,21.6700001,53737,33400
Aquinas College,Bachelor's,Graduate,Private,Great Lakes,Mid-size City,0.7135,24,1090,34593,6032,5972,19474,21.7199993,72085,31200
Calvin College,Bachelor's,Graduate,Private,Great Lakes,Mid-size City,0.6975,26,1183,39013,13845,7208,22500,19.6599999,93258,38100
Central Michigan University,Bachelor's,Graduate,Public,Great Lakes,Distant Town,0.6304,22,1029,21523,8249,8603,21721.5,21,70233.5,36100
Cleary University,Bachelor's,Graduate,Private,Great Lakes,Mid-size City,0.7263,21,976,17823,4903,5403,20832,31,55340,47800
College for Creative Studies,Bachelor's,Graduate,Private,Great Lakes,Large City,0.486,22,1010,46095,10845,6882,24000,21.3500004,65746,33200
University of Detroit Mercy,Bachelor's,Graduate,Private,Great Lakes,Large City,0.6147,25,1142,48027,14080,8667,19300,24.9599991,44772,43000
Eastern Michigan University,Bachelor's,Graduate,Public,Great Lakes,Large Suburb,0.6398,22,1011,18905,8307,8853,19114.5,22.5100002,52069,33800
Ferris State University,Bachelor's,Graduate,Public,Great Lakes,Remote Town,0.759,22,1010,21498,8696,7942,17562,21.8700008,59172,38400
Kettering University,Bachelor's,Graduate,Private,Great Lakes,Mid-size City,0.6159,27,1198,49303,11438,7704,22500,19.8400002,83977,69900
Cornerstone University,Bachelor's,Graduate,Private,Great Lakes,Mid-size City,0.6807,24,1084,33912,6292,5537,17750,27.2600002,55078,32800
Grand Valley State University,Bachelor's,Graduate,Public,Great Lakes,Large Suburb,0.826,24,1090,21512,7728,7816,20898.5,20.7999992,72885.5,36900
Hope College,Bachelor's,Bachelor's,Private,Great Lakes,Small City,0.7253,27,1204,38593,9281,7591,25000,19.4500008,91493,39700
Kalamazoo College,Bachelor's,Bachelor's,Private,Great Lakes,Small City,0.6689,28,1240,48547,14477,7991,24000,19.2199993,97614,41400
Lake Superior State University,Bachelor's,Graduate,Public,Great Lakes,Remote Town,0.9183,23,1050,19571,7640,6061,16563,22.4400005,48687,32600
Lawrence Technological University,Bachelor's,Graduate,Private,Great Lakes,Small City,0.4365,25,1145,39890,10272,7585,21500,22.1000004,63620,50000
Madonna University,Bachelor's,Graduate,Private,Great Lakes,Small City,0.6125,22,1034,22629,7282,7554,21733,27.4300003,41119.5,36300
